20240922_0719 | w2v_20240921_1_mc3_w13_v50 	| euc 	| spearmanr | 0.0919 | 0.0 | 36.37s 
20240922_0719 | w2v_20240921_1_mc3_w13_v50 	| cos 	| pearsonr | 0.0164 | 0.0 | 19.28s 
20240922_0719 | w2v_20240921_1_mc3_w13_v50 	| cos 	| spearmanr | 0.0148 | 0.0 | 42.45s 
20240922_0719 | w2v_20240920_0_mc3_w21_v25_g50 	| euc 	| pearsonr | 0.0578 | 0.0 | 25.42s 
20240922_0719 | w2v_20240920_0_mc3_w21_v25_g50 	| euc 	| spearmanr | 0.0663 | 0.0 | 35.31s 
20240922_0719 | w2v_20240920_0_mc3_w21_v25_g50 	| cos 	| pearsonr | 0.0208 | 0.0 | 21.08s 
20240922_0719 | w2v_20240920_0_mc3_w21_v25_g50 	| cos 	| spearmanr | 0.0239 | 0.0 | 38.89s 
20240922_0719 | w2v_20240921_0_mc5_w13_v100 	| euc 	| pearsonr | 0.0519 | 0.0 | 20.49s 
20240922_0719 | w2v_20240921_0_mc5_w13_v100 	| euc 	| spearmanr | 0.0598 | 0.0 | 30.99s 
20240922_0719 | w2v_20240921_0_mc5_w13_v100 	| cos 	| pearsonr | 0.0123 | 0.0 | 14.81s 
20240922_0719 | w2v_20240921_0_mc5_w13_v100 	| cos 	| spearmanr | 0.014 | 0.0 | 32.26s 
20240922_0719 | w2v_20240921_1_mc5_w44_v250 	| euc 	| pearsonr | 0.0077 | 0.0 | 17.12s 
20240922_0719 | w2v_20240921_1_mc5_w44_v250 	| euc 	| spearmanr | 0.0141 | 0.0 | 30.2s 
20240922_0719 | w2v_20240921_1_mc5_w44_v250 	| cos 	| pearsonr | -0.0224 | 0.0 | 16.44s 
20240922_0719 | w2v_20240921_1_mc5_w44_v250 	| cos 	| spearmanr | -0.0294 | 0.0 | 36.17s 
20240922_0719 | w2v_20240920_1_mc3_w13_v25_g50 	| euc 	| pearsonr | 0.0781 | 0.0 | 22.66s 
20240922_0719 | w2v_20240920_1_mc3_w13_v25_g50 	| euc 	| spearmanr | 0.1016 | 0.0 | 41.44s 
20240922_0719 | w2v_20240920_1_mc3_w13_v25_g50 	| cos 	| pearsonr | 0.028 | 0.0 | 29.71s 
20240922_0719 | w2v_20240920_1_mc3_w13_v25_g50 	| cos 	| spearmanr | 0.0275 | 0.0 | 39.3s 
20240922_0719 | w2v_20240921_1_mc8_w44_v500 	| euc 	| pearsonr | -0.0126 | 0.0 | 17.29s 
20240922_0719 | w2v_20240921_1_mc8_w44_v500 	| euc 	| spearmanr | -0.009 | 0.0 | 31.21s 
20240922_0719 | w2v_20240921_1_mc8_w44_v500 	| cos 	| pearsonr | -0.0326 | 0.0 | 14.38s 
20240922_0719 | w2v_20240921_1_mc8_w44_v500 	| cos 	| spearmanr | -0.0423 | 0.0 | 28.4s 
20240922_0719 | w2v_20240921_0_mc3_w21_v100 	| euc 	| pearsonr | 0.0559 | 0.0 | 26.79s 
20240922_0719 | w2v_20240921_0_mc3_w21_v100 	| euc 	| spearmanr | 0.0633 | 0.0 | 31.83s 
20240922_0719 | w2v_20240921_0_mc3_w21_v100 	| cos 	| pearsonr | 0.0095 | 0.0 | 18.49s 
20240922_0719 | w2v_20240921_0_mc3_w21_v100 	| cos 	| spearmanr | 0.0099 | 0.0 | 36.53s 
20240922_0719 | w2v_20240921_1_mc8_w21_v250 	| euc 	| pearsonr | 0.0009 | 0.0 | 27.39s 
20240922_0719 | w2v_20240921_1_mc8_w21_v250 	| euc 	| spearmanr | 0.0078 | 0.0 | 30.56s 
20240922_0719 | w2v_20240921_1_mc8_w21_v250 	| cos 	| pearsonr | -0.0269 | 0.0 | 16.59s 
20240922_0719 | w2v_20240921_1_mc8_w21_v250 	| cos 	| spearmanr | -0.0346 | 0.0 | 30.19s 
20240922_0719 | w2v_20240921_1_mc5_w21_v500 	| euc 	| pearsonr | -0.0118 | 0.0 | 18.17s 
20240922_0719 | w2v_20240921_1_mc5_w21_v500 	| euc 	| spearmanr | -0.0084 | 0.0 | 30.88s 
20240922_0719 | w2v_20240921_1_mc5_w21_v500 	| cos 	| pearsonr | -0.0302 | 0.0 | 17.43s 
20240922_0719 | w2v_20240921_1_mc5_w21_v500 	| cos 	| spearmanr | -0.0407 | 0.0 | 38.77s 
20240922_0719 | w2v_20240920_0_mc8_w21_v5_g50 	| euc 	| pearsonr | 0.0811 | 0.0 | 20.89s 
20240922_0719 | w2v_20240920_0_mc8_w21_v5_g50 	| euc 	| spearmanr | 0.0855 | 0.0 | 26.58s 
20240922_0719 | w2v_20240920_0_mc8_w21_v5_g50 	| cos 	| pearsonr | 0.0251 | 0.0 | 12.57s 
20240922_0719 | w2v_20240920_0_mc8_w21_v5_g50 	| cos 	| spearmanr | 0.0227 | 0.0 | 38.01s 
20240922_0719 | w2v_20240921_0_mc8_w44_v50 	| euc 	| pearsonr | 0.0636 | 0.0 | 20.04s 
20240922_0719 | w2v_20240921_0_mc8_w44_v50 	| euc 	| spearmanr | 0.0706 | 0.0 | 28.28s 
20240922_0719 | w2v_20240921_0_mc8_w44_v50 	| cos 	| pearsonr | 0.0176 | 0.0 | 13.34s 
20240922_0719 | w2v_20240921_0_mc8_w44_v50 	| cos 	| spearmanr | 0.019 | 0.0 | 31.49s 
20240922_0719 | w2v_20240921_1_mc5_w13_v100 	| euc 	| pearsonr | 0.0401 | 0.0 | 19.02s 
