20240917_1900 | w2v_20240910_sg1_mc8_w44_v50 	| euc 	| 0.9399 	|  0.0601 | 0.0196 | 20.46s 
20240917_1900 | w2v_20240910_sg1_mc8_w44_v50 	| cos 	| 0.9786 	|  0.0214 | 0.0196 | 18.16s 
20240917_1900 | w2v_20240911_skip_mc5_w44_v25 	| euc 	| 0.9354 	|  0.0646 | 0.0196 | 27.15s 
20240917_1900 | w2v_20240911_skip_mc5_w44_v25 	| cos 	| 0.9699 	|  0.0301 | 0.0196 | 28.28s 
20240917_1900 | w2v_20240910_sg1_mc3_w44_v10 	| euc 	| 0.9516 	|  0.0484 | 0.0196 | 35.33s 
20240917_1900 | w2v_20240910_sg1_mc3_w44_v10 	| cos 	| 0.9737 	|  0.0263 | 0.0196 | 32.54s 
20240917_1900 | w2v_20240911_skip_mc1_w44_v25 	| euc 	| 0.9414 	|  0.0586 | 0.0196 | 45.3s 
20240917_1900 | w2v_20240911_skip_mc1_w44_v25 	| cos 	| 0.982 	|  0.018 | 0.0196 | 50.85s 
20240917_1900 | w2v_20240910_sg1_mc3_w3_v25 	| euc 	| 0.9515 	|  0.0485 | 0.0196 | 31.83s 
20240917_1900 | w2v_20240910_sg1_mc3_w3_v25 	| cos 	| 0.9555 	|  0.0445 | 0.0196 | 29.35s 
20240917_1900 | w2v_20240911_skip_mc1_w44_v5 	| euc 	| 0.9574 	|  0.0426 | 0.0196 | 48.86s 
20240917_1900 | w2v_20240911_skip_mc1_w44_v5 	| cos 	| 0.9856 	|  0.0144 | 0.0196 | 56.49s 
20240917_1900 | w2v_20240911_sg1_mc1_w3_v5 	| euc 	| 0.9677 	|  0.0323 | 0.0196 | 56.62s 
20240917_1900 | w2v_20240911_sg1_mc1_w3_v5 	| cos 	| 0.9696 	|  0.0304 | 0.0196 | 61.5s 
20240917_1900 | w2v_20240911_sg1_mc1_w3_v50 	| euc 	| 0.9612 	|  0.0388 | 0.0196 | 70.98s 
20240917_1900 | w2v_20240911_sg1_mc1_w3_v50 	| cos 	| 0.9805 	|  0.0195 | 0.0196 | 62.0s 
20240917_1900 | w2v_20240911_skip_mc8_w3_v5 	| euc 	| 0.954 	|  0.046 | 0.0196 | 30.58s 
20240917_1900 | w2v_20240911_skip_mc8_w3_v5 	| cos 	| 0.9526 	|  0.0474 | 0.0196 | 23.79s 
